date,time,air_temperature_C,wind_speed_m_s,soil_temperature_C,soil_moisture_percent
01-01-24,00:00:00,9.87,5.32,10.68,32
01-01-24,01:00:00,8.46,6.58,9.86,31.91
01-01-24,02:00:00,12.68,4.1,10.91,31.82
01-01-24,03:00:00,7.36,3.13,9.63,31.74
01-01-24,04:00:00,6.25,4.25,9.9,31.66
01-01-24,05:00:00,5.41,3.44,7.69,31.58
01-01-24,06:00:00,8.19,3.92,9.15,31.5
01-01-24,07:00:00,4.86,4.9,7.96,31.42
01-01-24,08:00:00,6.98,5.08,7.8,31.34
01-01-24,09:00:00,6.25,4.56,6.36,31.26
01-01-24,10:00:00,7.67,4.65,8.01,31.18
01-01-24,11:00:00,6.63,3.72,8.26,31.11
01-01-24,12:00:00,5.72,4.42,8.47,31.03
01-01-24,13:00:00,5.94,4.89,8.25,30.95
01-01-24,14:00:00,6.74,5.51,7.13,30.88
01-01-24,15:00:00,8.79,5,5.93,30.8
01-01-24,16:00:00,5.13,3.6,6.21,30.73
01-01-24,17:00:00,9.26,4.09,7.93,30.66
01-01-24,18:00:00,11.43,3.22,8.88,30.58
01-01-24,19:00:00,10.7,5.13,8.35,30.51
01-01-24,20:00:00,12.12,4.91,8.51,30.43
01-01-24,21:00:00,11.44,3.62,7.2,30.36
01-01-24,22:00:00,8.26,6.6,8.51,30.28
01-01-24,23:00:00,11.63,4.33,8.1,30.21
02-01-24,00:00:00,7.95,4.42,7.13,30.14
02-01-24,01:00:00,10.96,5.85,8.29,30.07
02-01-24,02:00:00,10.14,5.12,8.14,29.99
02-01-24,03:00:00,9.29,4.3,8.38,29.93
02-01-24,04:00:00,5,4.09,8.4,29.87
02-01-24,05:00:00,8.2,3.97,8.17,29.8
02-01-24,06:00:00,7.38,3.32,7.75,29.74
02-01-24,07:00:00,4.87,4.12,8.62,29.68
02-01-24,08:00:00,5.13,4.67,8.64,29.62
02-01-24,09:00:00,2.19,4.5,7.53,29.56
02-01-24,10:00:00,4.77,4.77,7.58,29.5
02-01-24,11:00:00,5.39,5.49,7.63,29.44
02-01-24,12:00:00,6.97,4.17,7.57,29.38
02-01-24,13:00:00,8.6,5,9.89,29.32
02-01-24,14:00:00,11.52,5.07,7.25,29.25
02-01-24,15:00:00,8.19,3.52,8.7,29.2
02-01-24,16:00:00,4.18,4.09,7.83,29.14
02-01-24,17:00:00,10.9,7.31,8.42,29.07
02-01-24,18:00:00,13.94,4.23,9.42,29.01
02-01-24,19:00:00,11.32,5.63,9.51,28.95
02-01-24,20:00:00,9.64,3.26,9.08,28.89
02-01-24,21:00:00,10.61,5.28,6.09,28.83
02-01-24,22:00:00,10.79,3.43,8.76,28.78
02-01-24,23:00:00,7.85,3.33,8.47,28.73
03-01-24,00:00:00,7.14,4.36,6.36,28.68
03-01-24,01:00:00,7.42,4.06,8.9,28.62
03-01-24,02:00:00,10.17,3.87,7.29,28.57
03-01-24,03:00:00,8.71,3.99,7.55,28.52
03-01-24,04:00:00,5.29,3.2,7.29,28.48
03-01-24,05:00:00,4.43,4.2,6.7,28.43
03-01-24,06:00:00,6.77,6.33,7.95,28.37
03-01-24,07:00:00,4.87,3.34,8.04,28.33
03-01-24,08:00:00,1.87,3.44,8.44,28.29
03-01-24,09:00:00,5,4.32,7.99,28.24
03-01-24,10:00:00,7.18,4.63,7.56,28.19
03-01-24,11:00:00,7,4.62,6.08,28.14
03-01-24,12:00:00,5.62,3.62,7.52,28.1
03-01-24,13:00:00,7.4,4.95,7.42,28.05
03-01-24,14:00:00,9.82,3.62,8.31,28.01
03-01-24,15:00:00,11.46,3.95,9.14,27.96
03-01-24,16:00:00,5.9,4.58,8.5,27.91
03-01-24,17:00:00,10.37,4.33,7.18,27.87
03-01-24,18:00:00,12.86,3.54,7,27.82
03-01-24,19:00:00,8.72,3.23,9.02,27.78
03-01-24,20:00:00,8.8,4.37,8.02,27.73
03-01-24,21:00:00,11.85,4.32,6.62,27.69
03-01-24,22:00:00,10.54,5.69,8.95,27.64
03-01-24,23:00:00,12.19,3.8,8.96,27.59
04-01-24,00:00:00,9.99,3.5,8.58,27.55
04-01-24,01:00:00,7.66,4.51,9.08,27.51
04-01-24,02:00:00,5.78,4.5,8.35,27.47
